Gene,P.Value,Log FC
S100A6,6.80e-09,2.72
VIM,1.02e-08,3.12
PTBP3,5.70e-08,1.28
TMEM51,3.83e-08,1.97
ADORA1,5.42e-08,-1.79
PCSK5,6.02e-08,1.53
APOC1,5.37e-08,4.04
FBXO30,7.63e-08,1.18
GPNMB,2.77e-08,4.35
FSCN1,9.52e-08,-1.33
ARHGEF18,1.14e-07,-1.20
CMTM6,1.38e-07,1.15
KIF1A,1.46e-07,-1.06
LGALS3,6.36e-08,2.78
CSTB,1.74e-07,1.26
CTSC,1.81e-07,1.36
FPR3,1.03e-07,2.48
MYH7B,1.47e-07,-2.01
EMP3,1.76e-07,2.08
CP,1.99e-07,2.52
TAB2,2.63e-07,1.40
CP,2.28e-07,2.82
ANO6,2.59e-07,1.95
ITPR2,3.28e-07,1.22
ADAP1,3.36e-07,-1.12
PCBP4,3.57e-07,-1.49
PALLD,2.30e-07,2.65
GPD2,4.03e-07,9.57e-01
ABLIM1,3.92e-07,1.47
FRMD3,2.76e-07,2.01
SQRDL,3.97e-07,1.93
PAQR6,3.52e-07,-1.99
DENND2D,3.20e-07,2.50
PLA2G7,2.87e-07,2.42
DTNA,3.38e-07,2.26
N4BP2,6.04e-07,1.08
NDUFA10,6.12e-07,-1.20
CHI3L1,5.05e-07,2.46
TPD52L1,7.52e-07,1.39
KCNJ9,7.93e-07,-1.23
LOC100130370,8.20e-07,-9.88e-01
PPARG,8.26e-07,1.29
HDAC5,8.63e-07,-1.00
CASP3,8.68e-07,7.49e-01
ZNF217,9.22e-07,1.16
LYN,9.08e-07,1.57
INF2,9.29e-07,-1.26
TRIO,1.01e-06,1.18
ZC3HAV1,1.01e-06,1.18
CHIT1,7.91e-07,2.67
SYNPO2,8.15e-07,1.88
SORBS1,8.07e-07,2.09
AHCYL1,1.08e-06,1.13
MSR1,6.59e-07,2.69
PRRX1,1.07e-06,1.58
S100A11,9.03e-07,2.08
FRMD3,9.63e-07,1.75
TNS3,1.09e-06,1.64
MAOB,9.02e-07,2.17
