Gene,P.Value,Log FC,expression,CC
LIX1L,8.11e-05,0.33129838,Down regulated,122394733
SIGIRR,8.83e-05,0.52022758,Down regulated,111216276
PRMT2,0.0001436,0.51411519,Down regulated,115482686
CCDC107,0.0001658,0.35844112,Down regulated,
DCN,0.0001856,0.63442201,Down regulated,728358
DCN,0.0002294,0.79136501,Down regulated,728358
PRRX1,0.0003159,0.71795765,Down regulated,115482686
RPS19BP1,0.0003536,0.37183543,Down regulated,113455421
EMP2,0.0004521,0.53552985,Down regulated,115482686
POLDIP3,0.0004813,0.49451088,Down regulated,115482686
RPL19P12,0.0005257,0.31256548,Down regulated,
POLE4,0.0005305,0.50790226,Down regulated,115482686
CDKN2C,0.0005437,0.7317514,Down regulated,115482686
PRMT2,0.0005597,0.44495716,Down regulated,115482686
POLE4,0.000565,0.55759014,Down regulated,115482686
HTATIP2,0.0005723,0.77996597,Down regulated,115482686
GNA12,0.0005753,0.39220077,Down regulated,122394733
AIP,0.0007312,0.33882898,Down regulated,113455421
ZNF436,0.0007584,0.65153555,Down regulated,113455421
RPS10,0.0007811,0.38359955,Down regulated,113455421
RPS3,0.0008463,0.63326963,Down regulated,440275
RPS9,0.000856,0.49910387,Down regulated,100130932
LSM10,0.0008605,0.47773723,Down regulated,113455421
IFITM1,0.000924,0.77575804,Down regulated,100506658
NSA2,0.0010295,0.57855972,Down regulated,
CALCRL,0.0010751,0.49132054,Down regulated,111089941
PLEKHF2,0.0010802,0.52703185,Down regulated,111089941
TAS2R42,0.0010922,0.1021481,Down regulated,
KCTD21,0.0011772,0.4579045,Down regulated,
RPL10,0.001213,0.483135,Down regulated,100506658
MRPL18,0.0012319,0.62351989,Down regulated,
NR2F2,0.0013196,0.7067646,Down regulated,115482686
COMT,0.0013251,0.46392472,Down regulated,111240474
ZMYND17,0.0013807,0.32497659,Down regulated,
PTPN13,0.0014476,0.61497697,Down regulated,115482686
CCDC117,0.0014705,0.68401153,Down regulated,115482686
FUNDC2,0.0015234,0.28942868,Down regulated,115482686
RPS3A,0.0015613,0.43576712,Down regulated,100130932
FBXW5,0.0015762,0.31101575,Down regulated,122394733
AATF,0.0015767,0.57171656,Down regulated,115482686
RPS10,0.0016075,0.35405507,Down regulated,113455421
CNIH4,0.0016392,0.30288966,Down regulated,111089941
C16orf72,0.0016512,0.34897215,Down regulated,
TMOD3,0.0016608,0.44582961,Down regulated,
PIGF,0.0017182,0.39395038,Down regulated,
ETV2,0.0017251,0.25353079,Down regulated,115482686
PPP2CB,0.0017339,0.41399152,Down regulated,115482686
PCDH18,0.0018059,0.24331098,Down regulated,
TRAM2,0.0018362,0.45942545,Down regulated,
RPL17,0.0018436,0.37364532,Down regulated,115482686
IFITM1,0.0018474,0.6705467,Down regulated,100506658
PTRF,0.0018836,0.53067388,Down regulated,
ITGB1BP1,0.00196,1.09480708,Down regulated,115482686
PYGO2,0.0020117,0.28460354,Down regulated,113455421
RPL13A,0.0020295,0.27640775,Down regulated,100130932
TM4SF18,0.0022142,0.48522821,Down regulated,
ANO6,0.0022315,0.76028873,Down regulated,111240474
FUNDC2P2,0.0022661,0.35075907,Down regulated,
RPS15A,0.0022721,0.5050808,Down regulated,113455421
TMX1,0.0023295,0.43537066,Down regulated,
EMCN,0.0024307,0.56464227,Down regulated,
RPS15A,0.0024511,0.36199469,Down regulated,113455421
CAV1,0.0024691,0.75063481,Down regulated,100506658
RPS9,0.0024869,0.45882191,Down regulated,100130932
MAF1,0.0025588,0.48476297,Down regulated,115482686
GTF2E2,0.0026225,0.43252077,Down regulated,113455421
HDLBP,0.0026323,0.31348156,Down regulated,440275
CYHR1,0.0026375,0.43585384,Down regulated,
TMSB15A,0.0026487,0.35747929,Down regulated,122394733
MIR100HG,0.002694,0.50299191,Down regulated,
PPAPDC1A,0.0027387,0.57662421,Down regulated,
POLD2,0.0027751,0.41003966,Down regulated,115482686
THAP11,0.0027796,0.29680223,Down regulated,113455421
LAMA2,0.0028206,0.47942635,Down regulated,728358
